ID_GRUPO,ID_CURSO_ACADEMICO,ID_ASIGNATURA,ID_TIPO_DOCENCIA,ID_COD_GRUPO,ID_PERIODO_DOCENTE,IND_ALUMNOS_GRUPO_PREV,IND_ALUMNOS_GRUPO_REAL,IND_HORAS_PREVISTAS
2024-0-115-102443-56-211,2024,102443,56,211,1,42,45,5.0
2024-0-102-102892-1-601,2024,102892,1,601,1,0,15,21.0
2024-0-113-44048-56-1,2024,44048,56,1,0,0,0,2.0
2024-0-113-100768-54-131,2024,100768,54,131,1,34,35,5.0
2024-0-113-101978-1-64,2024,101978,1,64,1,28,27,30.0
2024-0-113-101980-54-621,2024,101980,54,621,1,26,28,15.0
2024-0-111-101628-61-7,2024,101628,61,7,0,55,2,300.0
2024-0-103-103269-81-3,2024,103269,81,3,1,24,0,300.0
2024-0-103-102498-69-942,2024,102498,69,942,1,0,15,21.0
2024-0-103-102521-69-942,2024,102521,69,942,1,0,0,21.0
2024-0-110-101457-54-1,2024,101457,54,1,1,0,38,24.75
2024-0-114-102392-1-4,2024,102392,1,4,1,46,0,32.5
2024-0-113-44092-1-1,2024,44092,1,1,1,16,0,9.0
2024-0-113-100854-55-213,2024,100854,55,213,1,24,21,8.0
2024-0-113-101934-55-521,2024,101934,55,521,1,20,20,14.0
2024-0-102-102937-73-314,2024,102937,73,314,0,109,1,18.0
2024-0-103-42253-1-1,2024,42253,1,1,1,19,10,38.0
2024-0-103-42736-1-1,2024,42736,1,1,1,12,9,9.0
2024-0-111-102068-69-21,2024,102068,69,21,1,0,68,21.0
2024-0-110-106372-1-30,2024,106372,1,30,1,0,0,21.0
2024-0-103-102489-55-3,2024,102489,55,3,1,21,20,9.0
2024-0-103-104873-55-1,2024,104873,55,1,1,41,52,24.0
2024-0-103-103300-54-1,2024,103300,54,1,1,52,66,13.0
2024-0-103-101044-56-1,2024,101044,56,1,1,25,25,6.0
2024-0-115-102690-1-51,2024,102690,1,51,1,0,42,30.0
2024-0-102-102937-1-501,2024,102937,1,501,0,53,58,50.0
2024-0-102-102933-55-301,2024,102933,55,301,0,20,19,15.0
2024-0-102-102933-58-301,2024,102933,58,301,0,20,19,10.0
2024-0-114-102327-1-51,2024,102327,1,51,1,46,66,32.5
2024-0-114-102329-54-1,2024,102329,54,1,1,68,59,17.0
2024-0-114-102330-1-1,2024,102330,1,1,1,54,46,32.5
2024-0-115-106926-1-61,2024,106926,1,61,1,74,80,26.0
2024-0-111-106734-56-212,2024,106734,56,212,1,21,23,31.0
2024-0-111-45451-1-2,2024,45451,1,2,0,25,22,78.0
2024-0-111-102085-56-712,2024,102085,56,712,1,27,32,30.0
2024-0-111-102089-1-41,2024,102089,1,41,1,67,52,13.0
2024-0-102-102929-73-217,2024,102929,73,217,0,98,2,15.0
2024-0-113-100876-54-322,2024,100876,54,322,1,26,26,10.0
2024-0-113-101953-54-612,2024,101953,54,612,1,29,31,14.0
2024-0-107-102679-55-2,2024,102679,55,2,1,0,19,77.5
2024-0-114-102346-1-14,2024,102346,1,14,1,0,0,21.0
2024-0-102-102948-73-730,2024,102948,73,730,0,0,1,10.0
2024-0-103-100150-1-1,2024,100150,1,1,1,105,103,10.0
2024-0-103-103947-1-60,2024,103947,1,60,1,0,0,21.0
2024-0-115-101756-1-11,2024,101756,1,11,1,47,58,30.0
2024-0-115-101764-55-34,2024,101764,55,34,1,19,14,12.0
2024-0-115-106561-54-711,2024,106561,54,711,1,0,24,24.0
2024-0-102-103016-1-101,2024,103016,1,101,1,84,85,41.0
2024-0-102-44702-68-101,2024,44702,68,101,0,9,0,75.0
2024-0-102-102904-69-301,2024,102904,69,301,1,0,29,21.0
2024-0-102-102893-75-661,2024,102893,75,661,1,14,14,4.0
2024-0-114-102221-1-1,2024,102221,1,1,1,40,0,22.0
2024-0-113-100753-56-141,2024,100753,56,141,1,46,13,2.0
2024-0-113-100881-55-333,2024,100881,55,333,1,18,16,52.0
2024-0-103-105034-55-3,2024,105034,55,3,0,18,19,50.0
2024-0-115-102717-1-310,2024,102717,1,310,1,80,144,26.0
2024-0-115-106941-55-611,2024,106941,55,611,1,27,16,12.0
2024-0-115-106942-54-611,2024,106942,54,611,1,50,36,12.0
2024-0-115-104534-55-613,2024,104534,55,613,1,16,3,12.0
2024-0-103-102810-1-1,2024,102810,1,1,1,0,1,32.0
2024-0-111-103525-56-311,2024,103525,56,311,1,24,36,15.0
2024-0-111-103526-1-3,2024,103526,1,3,1,45,66,30.0
2024-0-111-103528-56-311,2024,103528,56,311,1,23,36,15.0
2024-0-111-103699-56-211,2024,103699,56,211,0,24,26,40.0
2024-0-103-45095-1-1,2024,45095,1,1,1,30,0,30.0
2024-0-102-102962-56-117,2024,102962,56,117,0,20,19,12.0
2024-0-102-103629-55-113,2024,103629,55,113,1,23,20,21.5
2024-0-109-102586-69-1,2024,102586,69,1,1,0,93,21.0
2024-0-115-106559-54-711,2024,106559,54,711,1,53,49,24.0
2024-0-111-101997-56-612,2024,101997,56,612,1,26,23,10.0
