ID_GRUPO,ID_FECHA_GRUPO,ID_HORA_INICIO,ID_HORA_FIN,ID_CURSO_ACADEMICO,ID_ASIGNATURA,ID_TIPO_DOCENCIA,ID_COD_GRUPO,ID_PERIODO_DOCENTE,IND_ALUMNOS_GRUPO_PREV,IND_ALUMNOS_GRUPO_REAL,IND_HORAS_PREVISTAS
2024-0-115-103804-54-416,2025-05-29,930,1030,2024,103804,54,416,1,38,40,12.0
2024-0-115-104353-54-812,2025-05-29,1130,1230,2024,104353,54,812,1,36,38,12.0
2024-0-115-102784-54-442,2025-05-29,1130,1230,2024,102784,54,442,1,40,41,12.0
2024-0-115-102765-54-451,2025-05-29,1700,1800,2024,102765,54,451,1,38,38,38.0
2024-0-115-103802-54-431,2025-05-29,1330,1430,2024,103802,54,431,1,41,34,15.0
2024-0-115-102743-54-412,2025-05-29,1230,1430,2024,102743,54,412,1,39,15,50.0
2024-0-115-102765-54-432,2025-05-29,1330,1430,2024,102765,54,432,1,38,38,38.0
2024-0-115-101764-55-33,2025-05-29,1700,1900,2024,101764,55,33,1,20,14,12.0
2024-0-115-103795-54-312,2025-05-29,930,1030,2024,103795,54,312,1,39,40,15.0
2024-0-115-102721-1-320,2025-05-29,830,1030,2024,102721,1,320,1,19,18,26.0
2024-0-115-104353-54-811,2025-05-29,1030,1130,2024,104353,54,811,1,37,39,12.0
2024-0-115-103795-1-31,2025-05-29,830,930,2024,103795,1,31,1,81,81,30.0
2024-0-115-102765-54-412,2025-05-29,1130,1230,2024,102765,54,412,1,39,40,38.0
2024-0-115-102693-1-330,2025-05-29,830,1030,2024,102693,1,330,1,3,13,26.0
2024-0-115-101746-54-11,2025-05-29,1800,1900,2024,101746,54,11,1,31,34,15.0
2024-0-115-101757-54-10,2025-05-29,1700,1800,2024,101757,54,10,1,37,35,15.0
2024-0-115-104358-1-81,2025-05-29,1500,1700,2024,104358,1,81,1,61,57,25.0
2024-0-115-106929-54-612,2025-05-29,1230,1430,2024,106929,54,612,1,28,31,24.0
2024-0-115-102743-54-451,2025-05-29,1700,1900,2024,102743,54,451,1,38,33,50.0
2024-0-115-102765-54-411,2025-05-29,1030,1130,2024,102765,54,411,1,39,39,38.0
2024-0-115-106930-54-611,2025-05-29,1230,1430,2024,106930,54,611,1,29,33,22.0
2024-0-115-103802-54-432,2025-05-29,1230,1330,2024,103802,54,432,1,41,34,15.0
2024-0-115-106049-54-212,2025-05-29,1030,1130,2024,106049,54,212,1,40,28,15.0
